RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
270,Park County,WY,202601,1226.29,,,
270,Park County,WY,202602,1258.14,0.026,,
270,Park County,WY,202603,1253.54,-0.0037,,
270,Park County,WY,202604,1242.89,-0.0085,,
745,Teton County,WY,202602,5267.48,,,"Jackson, WY-ID"
745,Teton County,WY,202603,5057.18,-0.0399,,"Jackson, WY-ID"
745,Teton County,WY,202604,4852.78,-0.0404,,"Jackson, WY-ID"
824,Albany County,WY,202111,850.24,,,"Laramie, WY"
824,Albany County,WY,202112,858.18,0.0093,,"Laramie, WY"
824,Albany County,WY,202201,873.79,0.0182,,"Laramie, WY"
824,Albany County,WY,202202,890.46,0.0191,,"Laramie, WY"
824,Albany County,WY,202203,915.95,0.0286,,"Laramie, WY"
824,Albany County,WY,202204,905.94,-0.0109,,"Laramie, WY"
824,Albany County,WY,202205,907.84,0.0021,,"Laramie, WY"
824,Albany County,WY,202206,903.4,-0.0049,,"Laramie, WY"
824,Albany County,WY,202207,917.91,0.0161,,"Laramie, WY"
824,Albany County,WY,202208,917.99,0.0001,,"Laramie, WY"
824,Albany County,WY,202209,913.84,-0.0045,,"Laramie, WY"
824,Albany County,WY,202210,899.61,-0.0156,,"Laramie, WY"
824,Albany County,WY,202211,915.83,0.018,0.0772,"Laramie, WY"
824,Albany County,WY,202212,932.35,0.018,0.0864,"Laramie, WY"
824,Albany County,WY,202301,968.93,0.0392,0.1089,"Laramie, WY"
824,Albany County,WY,202302,966.72,-0.0023,0.0856,"Laramie, WY"
824,Albany County,WY,202303,977.81,0.0115,0.0675,"Laramie, WY"
824,Albany County,WY,202304,982.22,0.0045,0.0842,"Laramie, WY"
824,Albany County,WY,202305,1005.81,0.024,0.1079,"Laramie, WY"
824,Albany County,WY,202306,1009.51,0.0037,0.1175,"Laramie, WY"
824,Albany County,WY,202307,1000.08,-0.0093,0.0895,"Laramie, WY"
824,Albany County,WY,202308,994.88,-0.0052,0.0838,"Laramie, WY"
824,Albany County,WY,202309,988.63,-0.0063,0.0818,"Laramie, WY"
824,Albany County,WY,202310,983.19,-0.0055,0.0929,"Laramie, WY"
824,Albany County,WY,202311,970.91,-0.0125,0.0601,"Laramie, WY"
824,Albany County,WY,202312,993.48,0.0233,0.0656,"Laramie, WY"
824,Albany County,WY,202401,1008.07,0.0147,0.0404,"Laramie, WY"
824,Albany County,WY,202402,1036.44,0.0281,0.0721,"Laramie, WY"
824,Albany County,WY,202403,1041.69,0.0051,0.0653,"Laramie, WY"
824,Albany County,WY,202404,1061.85,0.0194,0.0811,"Laramie, WY"
824,Albany County,WY,202405,1058.3,-0.0033,0.0522,"Laramie, WY"
824,Albany County,WY,202406,1057.32,-0.0009,0.0474,"Laramie, WY"
824,Albany County,WY,202407,1060.13,0.0027,0.06,"Laramie, WY"
824,Albany County,WY,202408,1077.1,0.016,0.0826,"Laramie, WY"
824,Albany County,WY,202409,1068.99,-0.0075,0.0813,"Laramie, WY"
824,Albany County,WY,202410,1059.51,-0.0089,0.0776,"Laramie, WY"
824,Albany County,WY,202411,1060.24,0.0007,0.092,"Laramie, WY"
824,Albany County,WY,202412,1075.62,0.0145,0.0827,"Laramie, WY"
824,Albany County,WY,202501,1087.75,0.0113,0.079,"Laramie, WY"
824,Albany County,WY,202502,1088.49,0.0007,0.0502,"Laramie, WY"
824,Albany County,WY,202503,1094.11,0.0052,0.0503,"Laramie, WY"
824,Albany County,WY,202504,1115.56,0.0196,0.0506,"Laramie, WY"
824,Albany County,WY,202505,1120.38,0.0043,0.0587,"Laramie, WY"
824,Albany County,WY,202506,1126.14,0.0051,0.0651,"Laramie, WY"
824,Albany County,WY,202507,1125.54,-0.0005,0.0617,"Laramie, WY"
824,Albany County,WY,202508,1135.21,0.0086,0.054,"Laramie, WY"
824,Albany County,WY,202509,1122.18,-0.0115,0.0498,"Laramie, WY"
824,Albany County,WY,202510,1086.99,-0.0314,0.0259,"Laramie, WY"
824,Albany County,WY,202511,1075.22,-0.0108,0.0141,"Laramie, WY"
824,Albany County,WY,202512,1076.81,0.0015,0.0011,"Laramie, WY"
824,Albany County,WY,202601,1104.52,0.0257,0.0154,"Laramie, WY"
824,Albany County,WY,202602,1109.79,0.0048,0.0196,"Laramie, WY"
824,Albany County,WY,202603,1134.6,0.0224,0.037,"Laramie, WY"
824,Albany County,WY,202604,1149.17,0.0128,0.0301,"Laramie, WY"
1716,Fremont County,WY,202403,1136.49,,,"Riverton, WY"
1716,Fremont County,WY,202404,1136.6,0.0001,,"Riverton, WY"
1716,Fremont County,WY,202405,1156.73,0.0177,,"Riverton, WY"
1716,Fremont County,WY,202406,1167.97,0.0097,,"Riverton, WY"
1716,Fremont County,WY,202407,1176.38,0.0072,,"Riverton, WY"
1716,Fremont County,WY,202408,1172.65,-0.0032,,"Riverton, WY"
1716,Fremont County,WY,202409,1146.32,-0.0225,,"Riverton, WY"
1716,Fremont County,WY,202410,1147.69,0.0012,,"Riverton, WY"
1716,Fremont County,WY,202411,1135.73,-0.0104,,"Riverton, WY"
1716,Fremont County,WY,202412,1157.14,0.0189,,"Riverton, WY"
1716,Fremont County,WY,202501,1149.86,-0.0063,,"Riverton, WY"
1716,Fremont County,WY,202502,1162.84,0.0113,,"Riverton, WY"
1716,Fremont County,WY,202503,1166.38,0.003,0.0263,"Riverton, WY"
1716,Fremont County,WY,202504,1180.41,0.012,0.0385,"Riverton, WY"
1716,Fremont County,WY,202505,1192.12,0.0099,0.0306,"Riverton, WY"
1716,Fremont County,WY,202506,1220.83,0.0241,0.0453,"Riverton, WY"
1716,Fremont County,WY,202507,1227.74,0.0057,0.0437,"Riverton, WY"
1716,Fremont County,WY,202508,1239.36,0.0095,0.0569,"Riverton, WY"
1716,Fremont County,WY,202509,1211.15,-0.0228,0.0566,"Riverton, WY"
1716,Fremont County,WY,202510,1186.68,-0.0202,0.034,"Riverton, WY"
1716,Fremont County,WY,202511,1201.98,0.0129,0.0583,"Riverton, WY"
1716,Fremont County,WY,202512,1208.42,0.0054,0.0443,"Riverton, WY"
1716,Fremont County,WY,202601,1248.72,0.0333,0.086,"Riverton, WY"
1716,Fremont County,WY,202602,1264.94,0.013,0.0878,"Riverton, WY"
1716,Fremont County,WY,202603,1273.77,0.007,0.0921,"Riverton, WY"
1716,Fremont County,WY,202604,1262.33,-0.009,0.0694,"Riverton, WY"
1848,Laramie County,WY,201501,908.56,,,"Cheyenne, WY"
1848,Laramie County,WY,201502,903.86,-0.0052,,"Cheyenne, WY"
1848,Laramie County,WY,201503,909.53,0.0063,,"Cheyenne, WY"
1848,Laramie County,WY,201504,926.91,0.0191,,"Cheyenne, WY"
1848,Laramie County,WY,201505,938.37,0.0124,,"Cheyenne, WY"
1848,Laramie County,WY,201506,932.16,-0.0066,,"Cheyenne, WY"
1848,Laramie County,WY,201507,937.98,0.0062,,"Cheyenne, WY"
1848,Laramie County,WY,201508,938.97,0.001,,"Cheyenne, WY"
1848,Laramie County,WY,201509,945.48,0.0069,,"Cheyenne, WY"
1848,Laramie County,WY,201510,940.9,-0.0048,,"Cheyenne, WY"
1848,Laramie County,WY,201511,944.12,0.0034,,"Cheyenne, WY"
1848,Laramie County,WY,201512,935.2,-0.0094,,"Cheyenne, WY"
1848,Laramie County,WY,201601,935.24,0.0,0.0294,"Cheyenne, WY"
1848,Laramie County,WY,201602,941.33,0.0065,0.0415,"Cheyenne, WY"
1848,Laramie County,WY,201603,953.1,0.0125,0.0479,"Cheyenne, WY"
1848,Laramie County,WY,201604,963.18,0.0106,0.0391,"Cheyenne, WY"
1848,Laramie County,WY,201605,959.52,-0.0038,0.0225,"Cheyenne, WY"
1848,Laramie County,WY,201606,959.11,-0.0004,0.0289,"Cheyenne, WY"
1848,Laramie County,WY,201607,955.37,-0.0039,0.0185,"Cheyenne, WY"
1848,Laramie County,WY,201608,958.89,0.0037,0.0212,"Cheyenne, WY"
1848,Laramie County,WY,201609,964.69,0.006,0.0203,"Cheyenne, WY"
1848,Laramie County,WY,201610,964.7,0.0,0.0253,"Cheyenne, WY"
1848,Laramie County,WY,201611,959.88,-0.005,0.0167,"Cheyenne, WY"
1848,Laramie County,WY,201612,955.73,-0.0043,0.022,"Cheyenne, WY"
1848,Laramie County,WY,201701,953.5,-0.0023,0.0195,"Cheyenne, WY"
1848,Laramie County,WY,201702,957.56,0.0043,0.0172,"Cheyenne, WY"
1848,Laramie County,WY,201703,960.06,0.0026,0.0073,"Cheyenne, WY"
1848,Laramie County,WY,201704,967.36,0.0076,0.0043,"Cheyenne, WY"
1848,Laramie County,WY,201705,969.12,0.0018,0.01,"Cheyenne, WY"
1848,Laramie County,WY,201706,969.96,0.0009,0.0113,"Cheyenne, WY"
1848,Laramie County,WY,201707,963.49,-0.0067,0.0085,"Cheyenne, WY"
1848,Laramie County,WY,201708,968.29,0.005,0.0098,"Cheyenne, WY"
