RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
100220,99501,AK,201607,1112.95,,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201608,1112.04,-0.0008,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201609,1117.12,0.0046,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201610,1115.17,-0.0017,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201611,1111.91,-0.0029,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201612,1091.71,-0.0182,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201701,1100.6,0.0081,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201702,1092.77,-0.0071,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201703,1120.49,0.0254,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201704,1126.66,0.0055,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201705,1136.86,0.0091,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201706,1131.7,-0.0045,,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201707,1137.65,0.0053,0.0222,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201708,1133.03,-0.0041,0.0189,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201709,1124.33,-0.0077,0.0065,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201710,1103.38,-0.0186,-0.0106,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201711,1085.82,-0.0159,-0.0235,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201712,1080.94,-0.0045,-0.0099,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201801,1079.69,-0.0012,-0.019,Anchorage,"Anchorage, AK",Anchorage Borough
100220,99501,AK,201802,1086.11,0.0059,-0.0061,Anchorage,"Anchorage, AK",Anchorage Borough
