RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
93194,80002,CO,202001,1616.5,,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202002,1599.18,-0.0107,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202003,1604.92,0.0036,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202004,1607.51,0.0016,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202005,1618.4,0.0068,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202006,1633.17,0.0091,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202007,1644.23,0.0068,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202008,1658.48,0.0087,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202009,1667.94,0.0057,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202010,1656.02,-0.0071,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202011,1641.93,-0.0085,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202012,1638.95,-0.0018,,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202101,1652.08,0.008,0.022,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202102,1667.18,0.0091,0.0425,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202103,1665.99,-0.0007,0.038,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202104,1660.9,-0.0031,0.0332,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202105,1692.54,0.019,0.0458,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202106,1727.69,0.0208,0.0579,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202107,1786.0,0.0338,0.0862,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202108,1832.26,0.0259,0.1048,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202109,1853.5,0.0116,0.1113,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202110,1808.22,-0.0244,0.0919,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202111,1804.41,-0.0021,0.099,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202112,1832.37,0.0155,0.118,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202201,1894.86,0.0341,0.147,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202202,1913.32,0.0097,0.1476,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202203,1920.4,0.0037,0.1527,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202204,1937.22,0.0088,0.1664,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202205,1962.34,0.013,0.1594,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
93194,80002,CO,202206,2000.93,0.0197,0.1582,Arvada,"Denver-Aurora-Lakewood, CO",Jefferson County
