RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
66125,20001,DC,201502,2031.57,,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201503,2082.73,0.0252,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201504,2029.42,-0.0256,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201505,2053.76,0.012,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201506,2057.11,0.0016,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201507,2069.82,0.0062,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201508,2043.01,-0.013,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201509,2053.13,0.005,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201510,2099.71,0.0227,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201511,2085.25,-0.0069,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201512,2107.72,0.0108,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201601,2113.44,0.0027,,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201602,2161.71,0.0228,0.0641,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201603,2136.68,-0.0116,0.0259,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201604,2142.48,0.0027,0.0557,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201605,2119.5,-0.0107,0.032,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201606,2117.42,-0.001,0.0293,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201607,2128.77,0.0054,0.0285,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201608,2146.34,0.0083,0.0506,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201609,2131.05,-0.0071,0.038,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201610,2097.63,-0.0157,-0.001,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201611,2097.87,0.0001,0.0061,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201612,2149.17,0.0245,0.0197,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201701,2149.9,0.0003,0.0173,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201702,2192.04,0.0196,0.014,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201703,2172.2,-0.0091,0.0166,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201704,2214.87,0.0196,0.0338,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201705,2198.67,-0.0073,0.0374,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201706,2223.51,0.0113,0.0501,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201707,2211.34,-0.0055,0.0388,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201708,2217.06,0.0026,0.0329,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201709,2240.01,0.0104,0.0511,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201710,2243.7,0.0016,0.0696,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
66125,20001,DC,201711,2258.21,0.0065,0.0764,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
