RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
77909,46012,IN,202503,1066.43,,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202504,1089.55,0.0217,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202505,1074.94,-0.0134,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202506,1075.82,0.0008,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202507,1094.58,0.0174,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202508,1100.09,0.005,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202509,1101.55,0.0013,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202510,1106.38,0.0044,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202511,1105.6,-0.0007,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202512,1100.48,-0.0046,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202601,1074.36,-0.0237,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202602,1082.86,0.0079,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77909,46012,IN,202603,1085.83,0.0028,0.0182,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77910,46013,IN,202601,1117.95,,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77910,46013,IN,202602,1097.97,-0.0179,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77910,46013,IN,202603,1101.67,0.0034,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202208,690.55,,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202209,707.42,0.0244,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202210,714.2,0.0096,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202211,713.08,-0.0016,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202212,723.14,0.0141,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202301,733.19,0.0139,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202302,748.87,0.0214,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202303,748.97,0.0001,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202304,760.11,0.0149,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202305,767.4,0.0096,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202306,757.29,-0.0132,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202307,750.96,-0.0084,,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202308,743.02,-0.0106,0.076,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202309,766.46,0.0315,0.0835,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202310,770.14,0.0048,0.0783,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202311,783.17,0.0169,0.0983,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202312,769.48,-0.0175,0.0641,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202401,798.36,0.0375,0.0889,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202402,812.01,0.0171,0.0843,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202403,823.7,0.0144,0.0998,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202404,799.45,-0.0294,0.0518,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202405,814.17,0.0184,0.0609,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202406,830.64,0.0202,0.0969,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202407,836.22,0.0067,0.1135,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202408,826.38,-0.0118,0.1122,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202409,811.49,-0.018,0.0588,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202410,825.51,0.0173,0.0719,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202411,828.27,0.0033,0.0576,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202412,852.88,0.0297,0.1084,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202501,854.89,0.0024,0.0708,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202502,858.65,0.0044,0.0574,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202503,867.12,0.0099,0.0527,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202504,866.87,-0.0003,0.0843,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202505,868.95,0.0024,0.0673,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202506,859.31,-0.0111,0.0345,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202507,887.01,0.0322,0.0607,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202508,891.09,0.0046,0.0783,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202509,908.18,0.0192,0.1191,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202510,893.87,-0.0158,0.0828,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202511,902.2,0.0093,0.0893,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202512,891.96,-0.0114,0.0458,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202601,907.74,0.0177,0.0618,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
77913,46016,IN,202602,930.11,0.0247,0.0832,Anderson,"Indianapolis-Carmel-Anderson, IN",Madison County
