RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
87028,66002,KS,202602,1216.67,,,Atchison,"Atchison, KS",Atchison County
87039,66018,KS,202602,1195.0,,,De Soto,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202103,1138.3,,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202104,1162.99,0.0217,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202105,1147.3,-0.0135,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202106,1155.89,0.0075,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202107,1163.05,0.0062,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202108,1186.47,0.0201,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202109,1194.98,0.0072,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202110,1199.08,0.0034,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202111,1199.53,0.0004,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202112,1218.33,0.0157,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202201,1223.01,0.0038,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202202,1233.24,0.0084,,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202203,1239.73,0.0053,0.0891,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202204,1268.11,0.0229,0.0904,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202205,1297.93,0.0235,0.1313,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202206,1325.68,0.0214,0.1469,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202207,1352.83,0.0205,0.1632,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202208,1352.68,-0.0001,0.1401,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202209,1340.49,-0.009,0.1218,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202210,1316.81,-0.0177,0.0982,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202211,1314.81,-0.0015,0.0961,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202212,1315.62,0.0006,0.0798,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202301,1327.02,0.0087,0.085,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202302,1335.79,0.0066,0.0832,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202303,1340.22,0.0033,0.0811,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202304,1344.05,0.0029,0.0599,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202305,1355.35,0.0084,0.0442,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202306,1357.57,0.0016,0.0241,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202307,1367.37,0.0072,0.0107,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202308,1346.3,-0.0154,-0.0047,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202309,1365.66,0.0144,0.0188,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202310,1368.24,0.0019,0.0391,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202311,1390.96,0.0166,0.0579,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202312,1390.92,-0.0,0.0572,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202401,1403.19,0.0088,0.0574,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202402,1419.39,0.0115,0.0626,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202403,1432.27,0.0091,0.0687,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202404,1442.98,0.0075,0.0736,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202405,1449.22,0.0043,0.0693,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202406,1459.88,0.0074,0.0754,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202407,1447.79,-0.0083,0.0588,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202408,1448.41,0.0004,0.0758,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202409,1443.79,-0.0032,0.0572,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202410,1446.58,0.0019,0.0573,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202411,1451.64,0.0035,0.0436,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202412,1461.81,0.007,0.051,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202501,1478.2,0.0112,0.0535,Gardner,"Kansas City, MO-KS",Johnson County
87048,66030,KS,202502,1496.07,0.0121,0.054,Gardner,"Kansas City, MO-KS",Johnson County
