RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
58197,1002,MA,202308,2315.12,,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202309,2310.02,-0.0022,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202310,2302.47,-0.0033,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202311,2309.19,0.0029,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202312,2340.35,0.0135,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202401,2361.85,0.0092,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202402,2447.93,0.0364,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202403,2494.66,0.0191,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202404,2499.42,0.0019,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202405,2500.31,0.0004,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202406,2448.62,-0.0207,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202407,2422.49,-0.0107,,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202408,2384.56,-0.0157,0.03,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202409,2430.42,0.0192,0.0521,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202410,2514.6,0.0346,0.0921,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202411,2570.8,0.0223,0.1133,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202412,2593.31,0.0088,0.1081,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202501,2551.51,-0.0161,0.0803,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202502,2564.33,0.005,0.0475,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202503,2569.15,0.0019,0.0299,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202504,2592.38,0.009,0.0372,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202505,2579.49,-0.005,0.0317,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202506,2585.81,0.0024,0.056,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202507,2581.04,-0.0018,0.0654,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202508,2552.48,-0.0111,0.0704,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202509,2574.92,0.0088,0.0595,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202510,2662.71,0.0341,0.0589,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202511,2753.37,0.034,0.071,Amherst,"Springfield, MA",Hampshire County
58197,1002,MA,202512,2822.69,0.0252,0.0885,Amherst,"Springfield, MA",Hampshire County
