RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
60518,7002,NJ,201501,1318.47,,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201502,1294.67,-0.0181,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201503,1309.39,0.0114,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201504,1338.5,0.0222,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201505,1374.05,0.0266,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201506,1374.68,0.0005,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201507,1388.08,0.0097,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201508,1364.23,-0.0172,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201509,1375.8,0.0085,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201510,1369.42,-0.0046,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201511,1403.14,0.0246,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201512,1392.87,-0.0073,,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201601,1387.08,-0.0042,0.052,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201602,1397.73,0.0077,0.0796,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201603,1408.44,0.0077,0.0756,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201604,1436.08,0.0196,0.0729,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201605,1449.26,0.0092,0.0547,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201606,1465.83,0.0114,0.0663,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201607,1449.13,-0.0114,0.044,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201608,1436.92,-0.0084,0.0533,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201609,1462.93,0.0181,0.0633,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201610,1497.1,0.0234,0.0932,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201611,1510.11,0.0087,0.0762,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201612,1493.93,-0.0107,0.0726,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201701,1468.36,-0.0171,0.0586,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201702,1473.73,0.0037,0.0544,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201703,1487.45,0.0093,0.0561,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201704,1503.22,0.0106,0.0467,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201705,1523.33,0.0134,0.0511,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201706,1514.41,-0.0059,0.0331,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201707,1521.13,0.0044,0.0497,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201708,1505.96,-0.01,0.0481,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
60518,7002,NJ,201709,1508.73,0.0018,0.0313,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County
