RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
95265,87031,NM,202301,1284.98,,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202302,1272.25,-0.0099,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202303,1328.61,0.0443,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202304,1309.92,-0.0141,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202305,1358.4,0.037,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202306,1414.42,0.0412,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202307,1449.21,0.0246,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202308,1440.05,-0.0063,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202309,1414.79,-0.0175,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202310,1424.02,0.0065,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202311,1407.63,-0.0115,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202312,1413.34,0.0041,,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202401,1394.26,-0.0135,0.085,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202402,1413.45,0.0138,0.111,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202403,1407.98,-0.0039,0.0597,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202404,1412.71,0.0034,0.0785,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202405,1412.73,0.0,0.04,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202406,1433.41,0.0146,0.0134,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202407,1467.93,0.0241,0.0129,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202408,1539.11,0.0485,0.0688,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202409,1528.82,-0.0067,0.0806,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202410,1500.29,-0.0187,0.0536,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202411,1455.39,-0.0299,0.0339,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202412,1244.52,-0.1449,-0.1194,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202501,1397.02,0.1225,0.002,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202502,1548.94,0.1087,0.0959,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202504,2015.61,0.3013,0.4316,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202505,1997.79,-0.0088,0.4142,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202506,2009.79,0.006,0.4226,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202507,1989.41,-0.0101,0.3879,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202508,1973.86,-0.0078,0.3447,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202509,1973.56,-0.0002,0.2823,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202510,1984.4,0.0055,0.298,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202511,2024.94,0.0204,0.3497,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202512,2018.99,-0.0029,0.3873,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202601,2051.78,0.0162,0.6487,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202602,2066.15,0.007,0.479,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202603,2066.67,0.0003,0.3343,Los Lunas,"Albuquerque, NM",Valencia County
95265,87031,NM,202604,2011.81,-0.0265,-0.0019,Los Lunas,"Albuquerque, NM",Valencia County
95297,87102,NM,202203,874.23,,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202204,891.98,0.0203,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202205,913.78,0.0244,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202206,921.59,0.0085,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202207,940.22,0.0202,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202208,934.72,-0.0058,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202209,936.82,0.0022,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202210,942.81,0.0064,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202211,957.5,0.0156,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202212,954.32,-0.0033,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202301,950.14,-0.0044,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202302,930.59,-0.0206,,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202303,939.1,0.0091,0.0742,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202304,946.13,0.0075,0.0607,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202305,975.9,0.0315,0.068,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202306,980.32,0.0045,0.0637,Albuquerque,"Albuquerque, NM",Bernalillo County
95297,87102,NM,202307,989.37,0.0092,0.0523,Albuquerque,"Albuquerque, NM",Bernalillo County
