RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
76452,43004,OH,202512,1831.72,,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202601,1873.59,0.0229,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202602,1877.54,0.0021,,Blacklick,"Columbus, OH",Franklin County
76452,43004,OH,202603,1868.52,-0.0048,,Blacklick,"Columbus, OH",Franklin County
76462,43015,OH,202105,1289.73,,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202106,1305.96,0.0126,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202107,1325.08,0.0146,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202108,1336.37,0.0085,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202109,1346.25,0.0074,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202110,1351.51,0.0039,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202111,1344.02,-0.0055,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202112,1344.9,0.0007,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202201,1323.67,-0.0158,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202202,1348.91,0.0191,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202203,1373.33,0.0181,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202204,1406.93,0.0245,,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202205,1430.02,0.0164,0.1088,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202206,1454.45,0.0171,0.1137,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202207,1488.67,0.0235,0.1235,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202208,1493.47,0.0032,0.1176,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202209,1514.47,0.0141,0.125,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202210,1532.35,0.0118,0.1338,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202211,1537.01,0.003,0.1436,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202212,1498.94,-0.0248,0.1145,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202301,1488.1,-0.0072,0.1242,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202302,1496.63,0.0057,0.1095,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202303,1511.47,0.0099,0.1006,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202304,1506.44,-0.0033,0.0707,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202305,1516.71,0.0068,0.0606,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202306,1538.47,0.0143,0.0578,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202307,1552.76,0.0093,0.0431,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202308,1558.54,0.0037,0.0436,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202309,1558.77,0.0001,0.0293,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202310,1562.93,0.0027,0.02,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202311,1534.14,-0.0184,-0.0019,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202312,1542.09,0.0052,0.0288,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202401,1535.22,-0.0045,0.0317,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202402,1560.47,0.0164,0.0427,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202403,1574.57,0.009,0.0417,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202404,1571.74,-0.0018,0.0434,Delaware,"Columbus, OH",Delaware County
76462,43015,OH,202405,1599.03,0.0174,0.0543,Delaware,"Columbus, OH",Delaware County
