RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
99011,97005,OR,201607,1162.1,,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201608,1167.34,0.0045,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201609,1198.71,0.0269,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201610,1190.12,-0.0072,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201611,1181.45,-0.0073,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201612,1172.96,-0.0072,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201701,1185.96,0.0111,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201702,1183.01,-0.0025,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201703,1202.14,0.0162,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201704,1201.19,-0.0008,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201706,1215.38,0.0118,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201707,1227.75,0.0102,,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201708,1249.19,0.0175,0.0749,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201709,1252.48,0.0026,0.0729,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201710,1259.69,0.0058,0.0509,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201711,1245.42,-0.0113,0.0465,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201712,1233.73,-0.0094,0.0443,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
99011,97005,OR,201801,1235.18,0.0012,0.053,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
