RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
70261,29020,SC,202604,1302.5,,,Camden,"Columbia, SC",Kershaw County
70265,29033,SC,202410,1529.86,,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202411,1537.35,0.0049,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202412,1534.54,-0.0018,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202502,1567.48,0.0215,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202503,1562.93,-0.0029,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202504,1554.94,-0.0051,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202505,1570.4,0.0099,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202506,1568.84,-0.001,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202507,1561.23,-0.0049,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202508,1591.85,0.0196,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202509,1587.47,-0.0028,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202510,1626.51,0.0246,,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202511,1606.91,-0.0121,0.0504,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202512,1641.63,0.0216,0.0678,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202601,1609.51,-0.0196,0.0489,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202602,1595.55,-0.0087,0.0179,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202603,1595.35,-0.0001,0.0207,Cayce,"Columbia, SC",Lexington County
70265,29033,SC,202604,1606.53,0.007,0.0332,Cayce,"Columbia, SC",Lexington County
70266,29036,SC,202601,2369.05,,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202602,2441.47,0.0306,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202603,2359.95,-0.0334,,Chapin,"Columbia, SC",Lexington County
70266,29036,SC,202604,2334.94,-0.0106,,Chapin,"Columbia, SC",Lexington County
70274,29045,SC,202401,1619.02,,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202402,1625.4,0.0039,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202403,1634.19,0.0054,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202404,1670.7,0.0223,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202405,1670.93,0.0001,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202406,1683.09,0.0073,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202407,1676.6,-0.0039,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202408,1677.16,0.0003,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202409,1645.93,-0.0186,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202410,1632.09,-0.0084,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202411,1590.91,-0.0252,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202412,1576.38,-0.0091,,Elgin,"Columbia, SC",Kershaw County
70274,29045,SC,202501,1581.21,0.0031,-0.0234,Elgin,"Columbia, SC",Kershaw County
