RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,City,Metro,CountyName
68274,24701,WV,202602,855.83,,,Bluefield,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202509,914.3,,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202510,915.62,0.0014,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202511,907.98,-0.0083,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202512,909.14,0.0013,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202601,878.66,-0.0335,,Princeton,"Bluefield, WV-VA",Mercer County
68290,24740,WV,202602,881.67,0.0034,,Princeton,"Bluefield, WV-VA",Mercer County
68498,25177,WV,202602,775.0,,,Saint Albans,"Charleston, WV",Kanawha County
68549,25302,WV,202602,1350.0,,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202401,1235.86,,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202402,1237.51,0.0013,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202403,1239.95,0.002,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202404,1259.97,0.0161,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202405,1267.89,0.0063,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202406,1282.84,0.0118,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202407,1289.98,0.0056,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202408,1315.7,0.0199,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202409,1334.58,0.0143,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202410,1365.46,0.0231,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202411,1360.26,-0.0038,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202412,1363.87,0.0027,,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202501,1355.15,-0.0064,0.0965,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202503,1374.02,0.0139,0.1103,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202504,1401.8,0.0202,0.1305,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202505,1415.14,0.0095,0.1232,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202506,1440.64,0.018,0.1362,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202507,1434.54,-0.0042,0.1183,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202508,1428.56,-0.0042,0.1074,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202509,1427.39,-0.0008,0.0849,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202510,1444.13,0.0117,0.0821,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202511,1455.57,0.0079,0.066,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202512,1457.14,0.0011,0.0712,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202601,1454.33,-0.0019,0.0663,Charleston,"Charleston, WV",Kanawha County
68553,25306,WV,202602,1467.17,0.0088,0.0827,Charleston,"Charleston, WV",Kanawha County
68558,25314,WV,202602,1225.0,,,Charleston,"Charleston, WV",Kanawha County
68595,25401,WV,202402,1192.93,,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202403,1210.22,0.0145,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202404,1211.17,0.0008,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202405,1257.08,0.0379,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202406,1251.33,-0.0046,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202407,1261.67,0.0083,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202408,1280.86,0.0152,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202409,1282.34,0.0012,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202410,1283.75,0.0011,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202411,1295.46,0.0091,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202412,1302.89,0.0057,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202501,1305.45,0.002,,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202502,1306.88,0.0011,0.0955,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202503,1324.93,0.0138,0.0948,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202504,1332.19,0.0055,0.0999,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202505,1333.76,0.0012,0.061,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202506,1344.9,0.0084,0.0748,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202507,1337.09,-0.0058,0.0598,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202508,1329.67,-0.0055,0.0381,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202509,1317.92,-0.0088,0.0277,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202510,1330.64,0.0097,0.0365,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202511,1346.01,0.0116,0.039,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202512,1359.35,0.0099,0.0433,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202601,1353.92,-0.004,0.0371,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68595,25401,WV,202602,1347.48,-0.0048,0.0311,Martinsburg,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68600,25414,WV,202312,1683.53,,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202401,1681.44,-0.0012,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202402,1644.67,-0.0219,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202403,1672.16,0.0167,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202404,1698.17,0.0156,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202405,1711.07,0.0076,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202406,1715.58,0.0026,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202407,1734.09,0.0108,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202408,1731.41,-0.0016,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202409,1761.36,0.0173,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202410,1756.3,-0.0029,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202411,1791.64,0.0201,,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202412,1793.79,0.0012,0.0655,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202501,1791.32,-0.0014,0.0654,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202502,1770.39,-0.0117,0.0764,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202503,1776.74,0.0036,0.0625,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202504,1783.34,0.0037,0.0502,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202505,1781.61,-0.001,0.0412,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202506,1766.92,-0.0082,0.0299,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202507,1772.28,0.003,0.022,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202508,1802.96,0.0173,0.0413,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202509,1839.87,0.0205,0.0446,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202510,1855.86,0.0087,0.0567,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202511,1870.17,0.0077,0.0438,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202512,1864.33,-0.0031,0.0393,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202601,1908.55,0.0237,0.0654,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68600,25414,WV,202602,1852.92,-0.0292,0.0466,Charles Town,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68601,25419,WV,202510,1845.24,,,Falling Waters,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68601,25419,WV,202511,1840.71,-0.0025,,Falling Waters,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68601,25419,WV,202512,1774.32,-0.0361,,Falling Waters,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68601,25419,WV,202601,1747.64,-0.015,,Falling Waters,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68601,25419,WV,202602,1769.08,0.0123,,Falling Waters,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68607,25427,WV,202602,1880.0,,,Hedgesville,"Hagerstown-Martinsburg, MD-WV",Berkeley County
68615,25438,WV,202602,2072.5,,,Ranson,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County
68640,25526,WV,202601,1229.64,,,Hurricane,"Huntington-Ashland, WV-KY-OH",Putnam County
68640,25526,WV,202602,1206.25,-0.019,,Hurricane,"Huntington-Ashland, WV-KY-OH",Putnam County
68716,25701,WV,202411,946.25,,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202412,951.01,0.005,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202501,955.48,0.0047,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202502,940.35,-0.0158,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202503,945.46,0.0054,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202504,957.5,0.0127,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202505,958.11,0.0006,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202506,974.94,0.0176,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202507,980.8,0.006,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202508,1015.86,0.0357,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202509,1010.48,-0.0053,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202510,1013.63,0.0031,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202511,964.44,-0.0485,0.0192,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202512,982.82,0.0191,0.0335,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202601,1005.27,0.0228,0.0521,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68716,25701,WV,202602,1033.95,0.0285,0.0995,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68718,25703,WV,202602,908.33,,,Huntington,"Huntington-Ashland, WV-KY-OH",Cabell County
68756,25801,WV,202501,945.81,,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202502,984.68,0.0411,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202503,1006.3,0.022,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202504,1012.35,0.006,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202505,1000.71,-0.0115,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202506,1035.87,0.0351,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202507,1071.22,0.0341,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202508,1062.98,-0.0077,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202509,1016.4,-0.0438,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202510,995.13,-0.0209,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202511,1006.22,0.0111,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202512,1038.05,0.0316,,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202601,1074.15,0.0348,0.1357,Beckley,"Beckley, WV",Raleigh County
68756,25801,WV,202602,1065.5,-0.008,0.0821,Beckley,"Beckley, WV",Raleigh County
68854,26003,WV,202210,697.05,,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202211,688.87,-0.0117,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202212,702.47,0.0197,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202301,707.61,0.0073,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202302,723.71,0.0228,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202303,717.08,-0.0092,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202304,733.85,0.0234,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202305,732.79,-0.0014,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202306,745.58,0.0174,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202307,744.46,-0.0015,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202308,747.04,0.0035,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202309,735.63,-0.0153,,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202310,723.6,-0.0164,0.0381,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202311,731.38,0.0107,0.0617,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202312,744.4,0.0178,0.0597,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202401,764.22,0.0266,0.08,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202402,766.52,0.003,0.0592,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202403,760.86,-0.0074,0.061,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202404,763.99,0.0041,0.0411,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202405,761.78,-0.0029,0.0396,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202406,775.06,0.0174,0.0395,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202407,769.84,-0.0067,0.0341,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202408,776.57,0.0087,0.0395,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202409,772.58,-0.0051,0.0502,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202410,772.27,-0.0004,0.0673,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202411,778.24,0.0077,0.0641,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202412,786.55,0.0107,0.0566,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202501,796.31,0.0124,0.042,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202502,804.08,0.0098,0.049,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202503,797.64,-0.008,0.0483,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202504,800.94,0.0041,0.0484,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202505,802.11,0.0015,0.0529,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202506,804.61,0.0031,0.0381,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202507,808.27,0.0045,0.0499,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202508,810.49,0.0028,0.0437,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202509,822.84,0.0152,0.065,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202510,825.65,0.0034,0.0691,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202511,837.48,0.0143,0.0761,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202512,839.1,0.0019,0.0668,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202601,838.22,-0.0011,0.0526,Wheeling,"Wheeling, WV-OH",Ohio County
68854,26003,WV,202602,821.94,-0.0194,0.0222,Wheeling,"Wheeling, WV-OH",Ohio County
68874,26062,WV,202505,866.9,,,Weirton,"Weirton-Steubenville, WV-OH",Hancock County
68874,26062,WV,202506,805.55,-0.0708,,Weirton,"Weirton-Steubenville, WV-OH",Hancock County
68874,26062,WV,202507,804.63,-0.0011,,Weirton,"Weirton-Steubenville, WV-OH",Hancock County
68874,26062,WV,202509,837.79,0.0412,,Weirton,"Weirton-Steubenville, WV-OH",Hancock County
68874,26062,WV,202510,811.58,-0.0313,,Weirton,"Weirton-Steubenville, WV-OH",Hancock County
68874,26062,WV,202512,796.65,-0.0184,,Weirton,"Weirton-Steubenville, WV-OH",Hancock County
68874,26062,WV,202601,820.05,0.0294,,Weirton,"Weirton-Steubenville, WV-OH",Hancock County
68874,26062,WV,202602,848.78,0.035,,Weirton,"Weirton-Steubenville, WV-OH",Hancock County
68878,26101,WV,202511,836.93,,,Parkersburg,"Parkersburg-Vienna, WV",Wood County
68878,26101,WV,202512,822.84,-0.0168,,Parkersburg,"Parkersburg-Vienna, WV",Wood County
68878,26101,WV,202601,817.25,-0.0068,,Parkersburg,"Parkersburg-Vienna, WV",Wood County
68878,26101,WV,202602,837.5,0.0248,,Parkersburg,"Parkersburg-Vienna, WV",Wood County
68972,26301,WV,202402,858.21,,,Clarksburg,"Clarksburg, WV",Harrison County
68972,26301,WV,202403,842.89,-0.0179,,Clarksburg,"Clarksburg, WV",Harrison County
68972,26301,WV,202404,858.01,0.0179,,Clarksburg,"Clarksburg, WV",Harrison County
