month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,99840,"skagway, ak",782000.0,-0.0792,,2,0.3333,,175.0,-0.0935,,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,351.0,-0.0406,,2230.0,-0.0785,,782000.0,-0.0792,,3,0.5,2.0,0.5,-0.1667,,0.0
202603,99712,"fairbanks, ak",231750.0,0.1574,-0.1335,26,0.2093,-0.0714,53.0,-0.2553,0.9444,16,0.0,-0.3333,0,,,0.0,0.0,0.0,6.0,,-0.25,0.0973,0.0973,-0.0317,20.0,-0.025,3.875,187.0,0.0052,-0.0547,1475.0,0.0243,-0.1615,311010.0,0.1873,-0.1022,47,0.0941,0.4091,0.75,-0.1802,0.6071,1.0
202603,99507,"anchorage, ak",399975.0,-0.0026,-0.0889,18,-0.2174,-0.28,44.0,-0.12,0.0233,40,0.1765,0.4286,2,,,0.0192,0.0192,0.0192,4.0,-0.6,-0.5,0.0348,-0.0666,-0.046,52.0,0.2716,0.0729,257.0,0.0128,-0.0488,1496.0,-0.0723,-0.0225,517373.0,-0.0712,0.0409,71,0.128,-0.0342,2.8611,1.1002,0.9411,0.0
202603,99645,"palmer, ak",551200.0,0.0031,0.0977,63,0.125,-0.0597,39.0,0.3083,-0.1823,66,1.2,0.1,2,0.0,-0.5,0.0094,-0.0051,-0.0117,16.0,0.3333,-0.2,0.0806,-0.0042,-0.017,68.0,0.2364,-0.0286,284.0,0.0023,0.0362,2012.0,-0.0459,0.0022,606127.0,-0.0015,0.1222,135,0.2009,-0.0254,1.0794,0.0972,0.0346,0.0
202603,99676,"talkeetna, ak",432450.0,0.3961,0.1563,26,0.3333,0.1818,37.0,-0.8163,-0.6565,8,-0.2,1.0,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.05,-0.1212,6.0,0.5714,4.5,231.0,0.0692,-0.21,1753.0,0.1563,0.4514,439570.0,0.1649,0.0577,32,0.3913,0.3913,0.2115,0.0321,0.1661,1.0
202603,99652,"big lake, ak",475750.0,-0.0418,0.0231,15,0.3043,-0.0625,49.0,-0.6985,-0.4615,6,,0.5,0,,,0.0,0.0,0.0,2.0,,-0.5,0.087,0.087,-0.051,3.0,-0.25,0.5,319.0,-0.1502,0.2187,1259.0,-0.1769,-0.2255,656662.0,-0.0978,-0.1245,19,0.1935,-0.0263,0.2,-0.1478,0.075,0.0
202603,99919,"thorne bay, ak",302250.0,0.0075,-0.5081,7,-0.0714,0.625,155.0,0.1277,-0.3087,0,,-1.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,-0.5,,286.0,-0.044,0.2367,1185.0,0.0042,-0.5113,415746.0,0.0219,-0.2096,7,-0.1765,0.75,0.1538,-0.1319,,1.0
202603,99572,"cooper landing, ak",1174500.0,-0.0068,1.2371,2,0.0,-0.3333,258.0,0.0888,5.7763,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,391.0,-0.0089,0.8877,2877.0,0.0,-0.071,1174500.0,-0.0068,0.2557,2,0.0,-0.6,,,,1.0
202603,99501,"anchorage, ak",586225.0,0.2675,0.4974,24,0.0,0.5667,59.0,-0.3964,0.5526,20,0.4286,0.6667,0,,,0.0,0.0,0.0,6.0,-0.25,0.5,0.081,-0.0566,-0.006,25.0,0.1905,0.7857,274.0,-0.0459,0.1112,1938.0,0.321,0.3564,557505.0,0.0983,0.116,47,0.0805,0.6786,1.0638,0.1702,0.1305,0.0
202603,99829,"hoonah, ak",449000.0,0.0,,0,-1.0,,236.0,0.0607,,0,,,0,,,,,,0.0,,,,,,,,,354.0,0.0,,1268.0,0.0,,449000.0,0.0,,0,-1.0,,,,,0.0
