month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202602,20009,"washington, dc",557500.0,-0.0025,-0.0951,172,0.0719,-0.0926,39.0,-0.4968,-0.2452,106,1.65,0.2927,2,,,0.0055,0.0055,0.0055,22.0,0.1,-0.5769,0.0725,-0.0102,-0.0833,59.0,0.2553,0.0,654.0,0.0301,-0.0363,867.0,-0.0094,-0.0475,906022.0,-0.0125,-0.0524,232,0.1348,-0.0665,0.344,0.0503,0.0319,0.0
202602,20006,"washington, dc",240000.0,0.0213,-0.2258,3,0.0,0.0,65.0,0.2524,-0.4669,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,514.0,0.0439,-0.1486,475.0,0.0,-0.2363,265000.0,0.1218,0.0259,4,0.1667,-0.125,0.3333,0.0,0.0,1.0
202602,20018,"washington, dc",619000.0,0.0317,-0.0477,71,-0.0139,0.029,72.0,0.0474,0.4069,20,0.0,-0.3333,0,,,0.0,0.0,0.0,16.0,0.0,-0.2,0.1221,-0.0147,-0.0298,26.0,0.02,0.1087,349.0,0.0038,-0.0816,1792.0,0.0676,0.0697,722569.0,0.0172,0.0289,97,-0.0253,0.0489,0.3592,0.0119,0.0258,0.0
202602,20010,"washington, dc",616750.0,-0.0504,-0.1688,77,0.0625,-0.2154,55.0,-0.2633,0.1333,34,0.7,-0.2917,0,,-1.0,0.0,0.0,-0.0135,8.0,-0.6667,-0.6,0.0659,-0.1375,-0.0565,18.0,-0.1818,-0.1429,514.0,-0.0187,0.0088,1100.0,-0.0772,-0.2985,686561.0,-0.038,-0.0795,96,0.016,-0.1872,0.2353,-0.0703,0.0199,1.0
202602,20004,"washington, dc",486750.0,0.0582,-0.1498,17,-0.175,-0.0294,137.0,0.2925,0.8576,4,0.0,-0.3333,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1429,-0.1786,5.0,0.25,0.4286,648.0,0.009,0.004,789.0,0.1027,-0.0812,702315.0,0.1193,0.05,22,-0.1042,0.0238,0.303,0.103,0.0971,1.0
202602,20012,"washington, dc",599922.0,-0.0401,0.0434,47,0.0217,0.3239,68.0,-0.0109,0.5848,18,0.5,1.25,0,,,0.0,0.0,0.0,14.0,-0.4167,0.75,0.1798,-0.1094,0.0601,21.0,-0.0455,0.0244,450.0,0.012,-0.0255,1220.0,-0.0601,0.0898,687222.0,0.0369,-0.0293,68,0.0,0.2252,0.4468,-0.0315,-0.1307,1.0
202602,20008,"washington, dc",520000.0,-0.0353,-0.078,81,0.0592,0.1259,47.0,-0.4405,0.1534,38,0.5833,0.0556,0,,,0.0,0.0,0.0,16.0,0.0,0.0,0.1151,-0.0193,0.0035,22.0,0.2941,-0.3714,543.0,-0.0333,-0.0585,1101.0,-0.1029,0.0421,1470738.0,-0.0975,-0.1901,103,0.1022,-0.033,0.2733,0.0496,-0.2162,0.0
202602,20007,"washington, dc",1148700.0,-0.0507,-0.2796,112,0.0275,-0.0549,52.0,-0.3481,-0.189,52,1.1667,0.2381,0,,,0.0,0.0,0.0,12.0,0.0,-0.4545,0.0638,-0.0015,-0.0466,36.0,0.5,-0.0649,718.0,-0.0101,-0.0673,1554.0,0.0678,-0.1866,2114393.0,0.0696,-0.1921,148,0.1212,-0.0662,0.3214,0.1012,-0.0035,1.0
202602,20003,"washington, dc",656250.0,0.0715,-0.0378,113,0.0865,0.018,59.0,-0.2548,0.0734,64,0.7778,0.5238,0,-1.0,,0.0,-0.0226,0.0,28.0,0.75,-0.125,0.1436,0.0466,-0.0317,32.0,0.2115,0.0862,641.0,0.026,-0.0367,1015.0,0.0234,-0.002,850934.0,0.0466,-0.0541,146,0.1279,0.0505,0.2788,0.0288,0.0175,0.0
202602,20005,"washington, dc",447250.0,-0.0105,-0.1864,50,0.1111,-0.2063,60.0,-0.2226,0.812,20,0.6667,0.1111,0,,,0.0,0.0,0.0,10.0,1.5,-0.375,0.1249,0.0652,-0.0462,6.0,-0.2143,-0.6765,630.0,-0.014,-0.0494,747.0,0.0,-0.1721,772336.0,-0.0159,-0.0059,57,0.14,-0.283,0.11,-0.0456,-0.1598,1.0
