month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,96753,"kihei, hi",1081500.0,-0.0073,-0.0257,484,-0.0272,0.0073,112.0,0.0619,0.2816,54,-0.325,-0.413,0,,-1.0,0.0,0.0,-0.0062,90.0,-0.0625,-0.2742,0.1485,0.0023,-0.0486,89.0,0.0473,0.6091,1041.0,-0.0036,-0.0727,1033.0,0.0088,0.1001,2233996.0,0.0006,-0.0705,572,-0.0129,0.0652,0.183,0.013,0.0685,0.0
202603,96704,"captain cook, hi",837500.0,-0.0694,0.0066,46,-0.0808,-0.09,90.0,0.0876,-0.1743,6,-0.4,-0.25,0,,,0.0,0.0,0.0,12.0,-0.1429,-0.25,0.216,0.0048,-0.0062,6.0,2.0,-0.25,534.0,-0.0803,-0.1652,1540.0,0.0175,0.0049,1203210.0,-0.1002,0.0003,52,0.0,-0.1034,0.1319,0.0915,-0.0281,0.0
202603,96826,"honolulu, hi",427750.0,0.0185,-0.0599,142,0.0403,0.1545,61.0,-0.0868,-0.2882,24,-0.2941,-0.4,0,,,0.0,0.0,0.0,26.0,-0.1875,0.3,0.1368,-0.0242,0.0149,25.0,-0.0755,-0.3378,606.0,0.0009,0.0218,729.0,0.0097,-0.0606,513997.0,0.0179,-0.1091,166,0.0215,0.0247,0.1725,-0.0216,-0.1283,0.0
202603,96766,"lihue, hi",613500.0,0.0,-0.1011,50,0.087,-0.1667,121.0,0.1548,0.3937,14,0.4,-0.125,0,,,0.0,0.0,0.0,6.0,-0.25,-0.25,0.0872,-0.0314,0.0064,14.0,0.0,0.2727,775.0,-0.0228,-0.041,1040.0,0.0822,0.1304,1623364.0,0.0473,0.2504,65,0.075,-0.1164,0.28,-0.0243,0.0967,1.0
202603,96815,"honolulu, hi",523500.0,0.0136,-0.0718,740,0.0278,0.1087,89.0,0.0143,0.2862,134,-0.029,-0.3021,2,-0.5,,0.002,-0.002,0.002,88.0,-0.1698,-0.4054,0.0883,-0.0206,-0.0643,115.0,0.0802,-0.1879,951.0,0.0077,0.1179,570.0,-0.0206,-0.1224,870387.0,-0.001,0.0028,853,0.0308,0.0603,0.1548,0.0075,-0.0566,0.0
202603,96734,"kailua, hi",1850000.0,-0.0427,0.1402,79,-0.0186,0.2154,61.0,-0.1091,0.3611,30,0.1538,-0.3182,0,,,0.0,0.0,0.0,20.0,-0.3333,0.6667,0.1219,-0.0862,0.0454,44.0,0.2571,0.1282,914.0,0.0114,0.0823,2069.0,-0.0291,0.1347,4040671.0,0.0196,0.162,126,0.0957,0.2115,0.557,0.1222,-0.043,0.0
202603,96782,"pearl city, hi",557500.0,0.1627,0.1285,42,0.3387,0.2206,53.0,-0.3538,0.25,18,0.8,0.5,0,,,0.0,0.0,0.0,8.0,0.0,-0.5,0.1019,-0.0015,-0.1254,21.0,-0.1961,-0.2115,623.0,0.0231,0.096,948.0,0.1094,0.0455,717130.0,0.0961,0.1997,61,0.0609,0.0339,0.494,-0.3286,-0.2707,0.0
202603,96740,"kailua kona, hi",976000.0,0.0013,0.1482,303,0.0017,0.036,77.0,-0.0032,0.0582,68,-0.1053,-0.2273,2,0.0,,0.0041,0.0,0.0041,72.0,-0.0769,-0.3571,0.156,-0.0092,-0.0912,81.0,0.0387,0.0592,704.0,-0.0064,0.0,1360.0,0.0093,0.1352,1897505.0,0.0496,0.1395,383,0.0039,0.0408,0.2661,0.0095,0.0058,0.0
202603,96754,"kilauea, hi",3789000.0,-0.0968,-0.2783,19,-0.0732,0.0,103.0,0.2724,-0.4446,0,-1.0,-1.0,0,,,0.0,0.0,0.0,2.0,0.0,-0.5,0.0714,0.0201,-0.0886,5.0,-0.3571,1.25,1493.0,-0.1941,-0.1384,2142.0,0.0198,-0.3538,4366174.0,-0.0362,-0.3744,24,-0.1296,0.119,0.2368,-0.1046,0.1316,1.0
202603,96780,"papaaloa, hi",1634250.0,-0.1966,-0.2572,4,-0.1111,0.3333,106.0,-0.0319,-0.0252,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1064.0,-0.0715,0.0517,2146.0,0.2535,0.3231,1928042.0,-0.1059,-0.1094,5,0.0,0.25,0.25,0.0278,-0.0833,1.0
202603,96768,"makawao, hi",1406250.0,-0.0479,0.0009,27,-0.0357,0.0385,125.0,0.0571,1.6042,10,4.0,0.25,0,,,0.0,0.0,0.0,4.0,0.0,-0.5,0.0851,-0.0069,-0.0749,15.0,0.0,-0.0625,789.0,-0.0467,-0.0047,1724.0,0.0251,-0.0061,1500816.0,-0.0363,-0.4655,43,-0.0116,0.0119,0.5556,0.0198,-0.0598,1.0
202603,96727,"honokaa, hi",942500.0,0.059,-0.3717,13,-0.1333,-0.1875,92.0,0.2933,-0.0368,0,,-1.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.0833,0.0,7.0,-0.1875,1.1667,576.0,0.1502,-0.0993,2150.0,0.0313,-0.0834,1671516.0,0.0444,-0.2831,20,-0.1702,-0.025,0.5,-0.0333,0.3125,1.0
