month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202602,02889,"warwick, ri",477100.0,0.0262,0.1163,33,-0.0152,-0.2442,34.0,-0.3558,-0.1184,22,-0.2143,-0.2143,0,,,0.0,0.0,0.0,14.0,2.5,2.5,0.1481,0.1153,0.1095,43.0,-0.0957,0.1039,387.0,0.0353,0.3092,1275.0,0.059,-0.1201,493541.0,0.0779,0.0533,72,-0.1588,-0.1173,1.3077,-0.1166,0.4123,0.0
202602,02828,"greenville, ri",409900.0,-0.1548,-0.4384,6,-0.3125,0.1,49.0,0.1529,1.1304,4,0.0,0.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1667,5.0,-0.2857,0.4286,370.0,0.0779,0.0534,1224.0,-0.121,-0.4937,658488.0,0.0092,-0.3491,11,-0.25,0.3125,0.9091,0.0341,0.2091,1.0
202602,02828,"greenville, ri",409900.0,-0.1548,-0.4384,6,-0.3125,0.1,49.0,0.1529,1.1304,4,0.0,0.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1667,7.0,0.0,1.0,370.0,0.0779,0.0534,1224.0,-0.121,-0.4937,658488.0,0.0092,-0.3491,11,-0.25,0.3125,1.2727,0.3977,0.5727,1.0
202602,02828,"greenville, ri",409900.0,-0.1548,-0.4384,6,-0.3125,0.1,49.0,0.1529,1.1304,0,-1.0,-1.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1667,7.0,0.0,1.0,370.0,0.0779,0.0534,1224.0,-0.121,-0.4937,658488.0,0.0092,-0.3491,11,-0.2143,0.375,1.2727,0.3977,0.5727,1.0
202602,02828,"greenville, ri",447450.0,-0.0774,-0.387,4,-0.5,-0.2,54.0,0.2588,1.3261,4,0.0,0.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1667,5.0,-0.2857,0.4286,409.0,0.1916,0.1644,1381.0,-0.0083,-0.4287,793700.0,0.2164,-0.2155,11,-0.25,0.3125,1.25,0.375,0.55,1.0
202602,02828,"greenville, ri",447450.0,-0.0774,-0.387,4,-0.5,-0.2,54.0,0.2588,1.3261,0,-1.0,-1.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1667,5.0,-0.2857,0.4286,409.0,0.1916,0.1644,1381.0,-0.0083,-0.4287,793700.0,0.2164,-0.2155,11,-0.2143,0.375,1.25,0.375,0.55,1.0
202602,02828,"greenville, ri",409900.0,-0.1548,-0.4384,6,-0.3125,0.1,49.0,0.1529,1.1304,0,-1.0,-1.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1667,5.0,-0.2857,0.4286,370.0,0.0779,0.0534,1224.0,-0.121,-0.4937,658488.0,0.0092,-0.3491,11,-0.2143,0.375,0.9091,0.0341,0.2091,1.0
202602,02822,"exeter, ri",784400.0,0.1887,-0.1597,3,-0.25,-0.25,135.0,2.1034,-0.1867,6,0.5,2.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,0.0,-0.4286,357.0,-0.0102,0.4135,2094.0,0.1036,-0.3286,640729.0,0.062,-0.7353,8,0.0,-0.3043,1.3333,0.3333,-0.4167,1.0
202602,02822,"exeter, ri",784400.0,0.1887,-0.1597,3,-0.25,-0.25,135.0,2.1034,-0.1867,4,0.0,1.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,0.0,-0.4286,357.0,-0.0102,0.4135,2094.0,0.1036,-0.3286,640729.0,0.062,-0.7353,7,-0.125,-0.3913,1.3333,0.3333,-0.4167,1.0
202602,02838,"manville, ri",649900.0,0.8598,0.6361,4,0.75,0.4,16.0,0.1429,-0.3725,0,-1.0,,0,,,0.0,0.0,0.0,2.0,,,0.4,0.4,0.4,5.0,3.5,2.0,319.0,0.0767,0.1978,2205.0,1.3653,0.364,606125.0,0.6723,0.59,6,2.0,0.5,1.2857,0.7857,0.6857,1.0
